epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,727.355,0.48512,1.33304,0.95654,0.61684,0.75,0.87581,0.77942,0.5715,2.47727,1.05109,0.0002921,0.0002921,0.0002921
44,744.468,0.43959,1.16663,0.97506,0.82126,0.6875,0.91727,0.81777,0.57587,2.24577,1.07231,0.00028715,0.00028715,0.00028715
45,760.804,0.45154,1.1336,0.94191,0.89454,0.6875,0.91416,0.80284,0.58362,2.10375,1.08077,0.0002822,0.0002822,0.0002822
46,777.151,0.42684,1.1477,0.93677,0.92632,0.6875,0.91416,0.81403,0.59906,2.0178,1.09823,0.00027725,0.00027725,0.00027725
47,793.697,0.49779,1.18762,0.99052,0.9111,0.6875,0.91416,0.82025,0.58341,1.95284,1.09589,0.0002723,0.0002723,0.0002723
48,811.1,0.45172,1.13643,0.9765,0.88922,0.6875,0.91727,0.8131,0.56101,1.93926,1.09082,0.00026735,0.00026735,0.00026735
49,827.492,0.39426,1.07212,0.89604,0.79135,0.75,0.91416,0.82336,0.55432,1.93858,1.09845,0.0002624,0.0002624,0.0002624
50,844.091,0.47682,1.10084,0.98358,0.78434,0.75,0.91416,0.82647,0.5515,2.01541,1.09642,0.00025745,0.00025745,0.00025745
51,860.571,0.47098,1.13977,0.92231,0.8589,0.6875,0.91416,0.8358,0.54476,2.09953,1.09838,0.0002525,0.0002525,0.0002525
52,877.805,0.3905,1.01522,0.91135,0.74093,0.75,0.90379,0.80056,0.59591,2.1932,1.10436,0.00024755,0.00024755,0.00024755
53,894.317,0.46763,1.11168,0.93038,0.80117,0.75,0.90379,0.79434,0.62582,2.17211,1.08705,0.0002426,0.0002426,0.0002426
54,910.577,0.41793,1.08421,0.96638,0.88678,0.6875,0.91208,0.79807,0.61046,2.1326,1.06806,0.00023765,0.00023765,0.00023765
55,926.887,0.42637,1.04075,0.94861,0.85118,0.6875,0.88099,0.79082,0.54654,2.06966,1.01279,0.0002327,0.0002327,0.0002327
56,944.258,0.43504,1.09316,0.92363,0.8374,0.6875,0.88099,0.80326,0.5294,2.06316,0.99764,0.00022775,0.00022775,0.00022775
57,960.556,0.39973,1.06139,0.92552,0.88277,0.6875,0.88099,0.79704,0.52724,2.03754,0.99171,0.0002228,0.0002228,0.0002228
58,976.935,0.46842,1.06564,1.02126,0.75062,0.75,0.88099,0.79704,0.55066,2.04467,1.01048,0.00021785,0.00021785,0.00021785
59,993.341,0.36269,0.96329,0.92875,0.7512,0.75,0.91208,0.80636,0.58517,2.04208,1.0619,0.0002129,0.0002129,0.0002129
60,1010.89,0.37036,0.98306,0.90442,0.87498,0.6875,0.91208,0.80015,0.60403,2.03232,1.10025,0.00020795,0.00020795,0.00020795
61,1027.28,0.39712,1.0004,0.91093,0.92133,0.6875,0.95354,0.82295,0.59918,1.95583,1.11466,0.000203,0.000203,0.000203
62,1043.6,0.33731,0.92735,0.89306,0.84751,0.75,0.93281,0.81777,0.56776,1.82651,1.10103,0.00019805,0.00019805,0.00019805
63,1059.94,0.37631,0.93846,0.92272,0.9094,0.75,0.93281,0.83953,0.54099,1.73188,1.08722,0.0001931,0.0001931,0.0001931
64,1077.32,0.38731,0.92463,0.92077,0.93096,0.75,0.96391,0.85819,0.53311,1.70456,1.08295,0.00018815,0.00018815,0.00018815
65,1093.83,0.38774,0.98068,0.9363,0.91472,0.75,0.995,0.88928,0.54007,1.71178,1.08007,0.0001832,0.0001832,0.0001832
66,1110.3,0.35203,0.84433,0.89489,0.90207,0.75,0.995,0.88928,0.56315,1.73302,1.09421,0.00017825,0.00017825,0.00017825
67,1126.83,0.35884,0.91479,0.89248,0.9117,0.75,0.96391,0.84886,0.58772,1.71488,1.11246,0.0001733,0.0001733,0.0001733
68,1144.12,0.38018,0.92709,0.91881,0.92954,0.75,0.96391,0.8613,0.59597,1.68751,1.12774,0.00016835,0.00016835,0.00016835
69,1160.58,0.38848,0.89597,0.90438,0.86465,0.8125,0.96391,0.86752,0.57681,1.6422,1.12026,0.0001634,0.0001634,0.0001634
70,1176.83,0.40395,0.9203,0.92447,0.86457,0.8125,0.96391,0.85819,0.55561,1.63461,1.10676,0.00015845,0.00015845,0.00015845
71,1193.04,0.41164,0.93123,0.95285,0.8338,0.8125,0.96391,0.85819,0.55454,1.62512,1.1154,0.0001535,0.0001535,0.0001535
72,1210.53,0.35127,0.90388,0.89967,0.67526,0.89889,0.96391,0.86752,0.56804,1.62768,1.13593,0.00014855,0.00014855,0.00014855
73,1227.11,0.39749,0.90759,0.93469,0.91884,0.75,0.96391,0.8613,0.58881,1.65585,1.16132,0.0001436,0.0001436,0.0001436
74,1243.51,0.3457,0.82941,0.88578,0.73996,0.85246,0.96391,0.84886,0.6095,1.67797,1.18439,0.00013865,0.00013865,0.00013865
75,1259.84,0.34885,0.88822,0.89251,0.74847,0.8527,0.96391,0.84886,0.61291,1.67231,1.19197,0.0001337,0.0001337,0.0001337
76,1276.89,0.37869,0.85009,0.92639,0.94747,0.75,0.96391,0.84264,0.60912,1.65382,1.18527,0.00012875,0.00012875,0.00012875
77,1293.2,0.31821,0.89996,0.89607,0.94643,0.75,0.96391,0.84264,0.60257,1.65858,1.16756,0.0001238,0.0001238,0.0001238
78,1309.53,0.35978,0.86494,0.90459,0.94819,0.75,0.96391,0.84264,0.59437,1.66087,1.14931,0.00011885,0.00011885,0.00011885
79,1325.89,0.34559,0.85635,0.89829,0.61391,1,0.96391,0.84264,0.58795,1.6493,1.13201,0.0001139,0.0001139,0.0001139
80,1343.61,0.34359,0.82364,0.89216,0.96256,0.75,0.96391,0.84886,0.58786,1.64014,1.12395,0.00010895,0.00010895,0.00010895
81,1360.29,0.34508,0.8652,0.92426,0.96297,0.75,0.96391,0.85508,0.58516,1.62042,1.11281,0.000104,0.000104,0.000104
82,1376.78,0.32832,0.83154,0.89922,0.96292,0.75,0.96391,0.8613,0.57452,1.59528,1.09874,9.905e-05,9.905e-05,9.905e-05
83,1393.41,0.34488,0.89368,0.93065,0.96389,0.75,0.96391,0.8613,0.56621,1.5733,1.08726,9.41e-05,9.41e-05,9.41e-05
84,1410.48,0.34949,0.81273,0.91749,0.96511,0.75,0.96391,0.85197,0.55806,1.56885,1.07403,8.915e-05,8.915e-05,8.915e-05
85,1426.79,0.36448,0.85045,0.94494,0.68455,0.9375,0.96391,0.85197,0.56005,1.56296,1.0683,8.42e-05,8.42e-05,8.42e-05
86,1443.11,0.3288,0.85036,0.91163,0.69108,0.9375,0.96391,0.85819,0.56745,1.56583,1.06967,7.925e-05,7.925e-05,7.925e-05
87,1459.67,0.32078,0.78628,0.94369,0.6964,0.9375,0.96391,0.86441,0.57671,1.56795,1.07479,7.43e-05,7.43e-05,7.43e-05
